game_title,image_url,genre,short_description,PLAYER_MODE
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Experience a new era of fighting! Master diverse characters, dynamic combat, and innovative features like Drive System. Unleash your inner warrior in intense battles!",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"Description: Gruesome bounty hunts in the Louisiana bayou. Fight horrifying creatures and rival players for valuable rewards. Survive, extract, and prosper.",Both
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Explore a post-apocalyptic open world, battling mutated creatures. Master unique resonators and build a powerful team to uncover secrets.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulation,"Description: Experience intense, tactical combat across a stunning island environment. Command, survive, and build in a dynamic sandbox war.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Survival,"Description: Scavenge abandoned moons for scrap to sell, meeting quota. Survive hazardous environments and terrifying creatures with your crew, or die trying.",Both
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"Description: High-stakes, tactical FPS. Loot, raid, and escape with valuable gear. Survive fierce combat and extract to keep your spoils.",Both
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,"Explore a post-apocalyptic world, battling Ethereals in fast-paced, stylish action combat with a dynamic team. Uncover mysteries!",Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Description: Survive, build, and dominate a prehistoric world. Tame dinosaurs, craft weapons, and explore vast landscapes against other players.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Build an empire, explore vast lands, research technologies, and conquer or befriend civilizations. Shape history through strategic decisions and warfare.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"Description: Dive into divine battles! Assemble your team, master unique gods, and conquer the battlefield in this action-packed, objective-focused MOBA.",Both
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,RPG,"Explore a vast open world. Engage in large-scale battles, siege warfare, and dynamic weather systems. Shape the fate of the land.",Both
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Action,"Explore a vast, shrouded world. Craft, build, and survive. Fight through hordes of enemies and uncover secrets.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Explore a mysterious toy factory overrun by living toys. Solve puzzles, survive terrifying chases, and uncover a dark secret.",Both
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Embark on a co-op adventure! Master diverse, inventive gameplay mechanics to overcome challenges together as a fractured couple.",Both
